"no.","name","engine","tuning","rmse","mse","r2","mae"
1,"ranger_model","ranger","basic",0.268487052767257,0.0720852975036481,0.977598818277216,0.208255400772334
2,"xgboost_model","xgboost","basic",0.323387063577431,0.104579192889233,0.967501035780352,0.261574300597696
5,"ranger_RS_2","ranger","random_search",0.3652312748085,0.133393884098242,0.958546600459803,0.2433621118323
6,"ranger_RS_3","ranger","random_search",0.369687876457266,0.136669125999483,0.957528788346147,0.245399557265677
4,"ranger_RS_1","ranger","random_search",0.385832959546226,0.148867072672199,0.953738162108577,0.259095199521618
3,"decision_tree_model","decision_tree","basic",0.468918139582309,0.219884221629334,0.931668917556423,0.313947252485016
10,"decision_tree_RS_1","decision_tree","random_search",0.468918139582309,0.219884221629334,0.931668917556423,0.313947252485016
11,"decision_tree_RS_2","decision_tree","random_search",0.468918139582309,0.219884221629334,0.931668917556423,0.313947252485016
12,"decision_tree_RS_3","decision_tree","random_search",0.468918139582309,0.219884221629334,0.931668917556423,0.313947252485016
7,"xgboost_RS_1","xgboost","random_search",1.15836999335366,1.34182104150216,0.583016536921092,0.954371556113748
8,"xgboost_RS_2","xgboost","random_search",1.99179614160494,3.96725186971234,-0.232860696301928,1.71083956746494
9,"xgboost_RS_3","xgboost","random_search",3.10914788866377,9.66680059358238,-2.00404887368041,2.72127120950643
