"no.","name","engine","tuning","accuracy","auc","f1"
1,"ranger_model","ranger","basic",0.9,0.884615384615385,0.921212121212121
2,"xgboost_model","xgboost","basic",0.875,0.807692307692308,0.884848484848485
4,"ranger_RS_1","ranger","random_search",0.833333333333333,0.884615384615385,0.909090909090909
6,"ranger_RS_3","ranger","random_search",0.833333333333333,0.730769230769231,0.933333333333333
5,"ranger_RS_2","ranger","random_search",0.727272727272727,0.769230769230769,0.872727272727273
3,"decision_tree_model","decision_tree","basic",0.714285714285714,0.692307692307692,0.660606060606061
10,"decision_tree_RS_1","decision_tree","random_search",0.714285714285714,0.692307692307692,0.660606060606061
11,"decision_tree_RS_2","decision_tree","random_search",0.714285714285714,0.692307692307692,0.660606060606061
12,"decision_tree_RS_3","decision_tree","random_search",0.714285714285714,0.692307692307692,0.660606060606061
7,"xgboost_RS_1","xgboost","random_search",0.666666666666667,0.692307692307692,0.775757575757576
8,"xgboost_RS_2","xgboost","random_search",0.666666666666667,0.692307692307692,0.775757575757576
9,"xgboost_RS_3","xgboost","random_search",0.545454545454545,0.615384615384615,0.609090909090909
